dish_type,source,partner,cuisine,reason,factor_fit,recruitment_needed,evidence_type,framework_score,discovery_score,gap_type,factor_gap_addressed,gap_description,discovery_rank
Salmon Teriyaki Family Platter,Factor Gap,TBD - based on cuisine,Various,"Healthy protein, balanced with rice and veg","{'balanced': 5, 'adult_appeal': 5, 'portion_flexibility': 5}",False,Discovery,5.0,5.2,,balanced_midweek,Parents want balanced meals they feel good about serving on a Tuesday,1
Halloumi Wrap Family Box,Cuisine Gap,New recruitment needed,Greek/Mediterranean,"Vegetarian protein, kid-friendly, easy to portion","{'kid_friendly': 4, 'balanced': 4, 'vegetarian': 5, 'portion_flexibility': 5}",True,Discovery,5.0,5.1,Supply Gap,,,2
Souvlaki Family Platter,Cuisine Gap,New recruitment needed,Greek/Mediterranean,Grilled protein + pitta + salad = balanced midweek meal,"{'kid_friendly': 4, 'balanced': 5, 'shareability': 5, 'adult_appeal': 4}",True,Discovery,5.0,5.1,Supply Gap,,,3
Rotisserie Chicken Family Feast,Partner Capability,Farmer J,Healthy/Fresh,"Classic family meal, balanced with veg sides, high value perception","{'kid_friendly': 5, 'balanced': 4, 'shareability': 5, 'value': 5}",False,Discovery,4.75,4.95,,,,4
Grilled Chicken Family Platter with Sides,Partner Capability,Farmer J,Healthy/Fresh,"Perfect fit for balanced midweek - grilled protein, customizable sides","{'kid_friendly': 4, 'balanced': 5, 'customisation': 5, 'portion_flexibility': 5}",False,Discovery,4.75,4.95,,,,5
Fajita Family Kit,Partner Capability,Tortilla,Mexican,Build-your-own format perfect for families with fussy eaters,"{'kid_friendly': 4, 'customisation': 5, 'fussy_eater': 5, 'shareability': 5}",False,Discovery,4.75,4.95,,,,6
Kids Ramen & Adult Ramen Combo,Partner Capability,Wagamama,Japanese/Asian,"Mild ramen for kids, spicy for adults - solves fussy eater problem","{'kid_friendly': 4, 'fussy_eater': 5, 'adult_appeal': 5, 'customisation': 5}",False,Discovery,4.75,4.95,,,,7
Grilled Chicken with Customizable Sides,Factor Gap,TBD - based on cuisine,Various,"Protein + veg + carbs, customizable for each family member","{'balanced': 5, 'customisation': 5, 'kid_friendly': 4}",False,Discovery,4.67,4.87,,balanced_midweek,Parents want balanced meals they feel good about serving on a Tuesday,8
Halloumi Wrap Family Bundle,Factor Gap,TBD - based on cuisine,Various,"Vegetarian protein that kids like, easy to portion","{'kid_friendly': 4, 'vegetarian': 5, 'portion_flexibility': 5}",False,Discovery,4.67,4.87,,vegetarian_main,Families with 1 vegetarian struggle to find options where everyone is happy,9
Veggie Fajita Family Kit,Factor Gap,TBD - based on cuisine,Various,Build-your-own with veggie protein options,"{'vegetarian': 5, 'customisation': 5, 'fussy_eater': 4}",False,Discovery,4.67,4.87,,vegetarian_main,Families with 1 vegetarian struggle to find options where everyone is happy,10
Paneer Tikka Family Feast,Factor Gap,TBD - based on cuisine,Various,"Indian vegetarian protein, shareable","{'vegetarian': 5, 'shareability': 5, 'adult_appeal': 4}",False,Discovery,4.67,4.87,,vegetarian_main,Families with 1 vegetarian struggle to find options where everyone is happy,11
Plain Pasta with Sides Family Bundle,Factor Gap,TBD - based on cuisine,Various,"Ultra-plain option for fussiest eaters, sides for everyone else","{'fussy_eater': 5, 'kid_friendly': 5, 'customisation': 4}",False,Discovery,4.67,4.87,,fussy_eater_options,"Families with very fussy eaters need mild, plain options",12
Dim Sum Family Selection,Cuisine Gap,New recruitment needed,Chinese,"Shareable, variety for different tastes, fun for families","{'kid_friendly': 3, 'shareability': 5, 'customisation': 4, 'adult_appeal': 5}",True,Discovery,4.75,4.85,Supply Gap,,,13
Shawarma Family Platter,Cuisine Gap,New recruitment needed,Middle Eastern,"Grilled meat, fresh salads, balanced","{'kid_friendly': 3, 'balanced': 4, 'shareability': 5, 'adult_appeal': 5}",True,Discovery,4.75,4.85,Supply Gap,,,14
Greek Mezze Family Feast,Cuisine Gap,New recruitment needed,Greek/Mediterranean,"Shareable, variety, includes veggie options","{'kid_friendly': 3, 'shareability': 5, 'vegetarian': 5, 'customisation': 4}",True,Discovery,4.75,4.85,Supply Gap,,,15
Build Your Own Grain Bowl Family Pack,Partner Capability,Farmer J,Healthy/Fresh,"Healthy, customizable - each family member picks toppings","{'kid_friendly': 3, 'balanced': 5, 'customisation': 5, 'vegetarian': 5}",False,Discovery,4.5,4.7,,,,16
Vietnamese Rice Paper Rolls Family Pack,Partner Capability,Pho,Vietnamese,"Healthy, fun for kids to eat, shareable - fits balanced midweek positioning","{'kid_friendly': 4, 'balanced': 5, 'shareability': 5, 'vegetarian': 4}",False,Discovery,4.5,4.7,,,,17
Teriyaki Salmon Family Platter,Partner Capability,Wagamama,Japanese/Asian,"Healthy protein option, balanced with rice and veg - fits midweek positioning","{'kid_friendly': 3, 'balanced': 5, 'adult_appeal': 5, 'portion_flexibility': 5}",False,Discovery,4.5,4.7,,,,18
Quesadilla Family Pack,Partner Capability,Tortilla,Mexican,"Kid-favorite, easy to share, cheese is universally loved","{'kid_friendly': 5, 'fussy_eater': 5, 'shareability': 4, 'value': 4}",False,Discovery,4.5,4.7,,,,19
Butter Chicken Family Feast,Partner Capability,Dishoom,Indian,"Mild, creamy curry that kids love - Dishoom quality would elevate this","{'kid_friendly': 5, 'balanced': 3, 'shareability': 5, 'portion_flexibility': 5}",False,Discovery,4.5,4.7,,,,20
Falafel & Hummus Family Box,Cuisine Gap,New recruitment needed,Middle Eastern,"Vegetarian option, healthy perception, shareable","{'kid_friendly': 3, 'balanced': 4, 'vegetarian': 5, 'shareability': 4}",True,Discovery,4.5,4.6,Supply Gap,,,21
Chicken & Rice Plain Family Meal,Factor Gap,TBD - based on cuisine,Various,"Simple, mild, universally acceptable","{'fussy_eater': 5, 'kid_friendly': 5, 'balanced': 3}",False,Discovery,4.33,4.53,,fussy_eater_options,"Families with very fussy eaters need mild, plain options",22
Biryani Family Pot,Partner Capability,Dishoom,Indian,Dishoom has the kitchen capability for biryani - premium rice dish fits their brand,"{'kid_friendly': 3, 'balanced': 4, 'shareability': 5, 'portion_flexibility': 5}",False,Discovery,4.25,4.45,,,,23
