rank,dish_type,priority_score,category,evidence_type,track_a_score,track_b_score,discovery_score,order_volume,avg_rating,repeat_rate,survey_n,latent_demand_mentions,cuisine,gap_type,potential_partners,recommended_action,evidence_flag,adult_satisfaction,kids_happy,source,discovery_reason
1,Salmon Teriyaki Family Platter,5.2,Discover,Discovery,,,5.2,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Salmon Teriyaki Family Platter with TBD - based on cuisine,Discovery: 5.2/5,,,Smart Discovery,"Healthy protein, balanced with rice and veg"
2,Halloumi Wrap Family Box,5.1,Discover,Discovery,,,5.1,0,,,0.0,0.0,Greek/Mediterranean,,New recruitment needed,Test Halloumi Wrap Family Box with New recruitment needed,Discovery: 5.1/5,,,Smart Discovery,"Vegetarian protein, kid-friendly, easy to portion"
3,Souvlaki Family Platter,5.1,Discover,Discovery,,,5.1,0,,,0.0,0.0,Greek/Mediterranean,,New recruitment needed,Test Souvlaki Family Platter with New recruitment needed,Discovery: 5.1/5,,,Smart Discovery,Grilled protein + pitta + salad = balanced midweek meal
4,Chicken,5.0,Expand,Measured,5.0,,,11417,4.55,,,,Global,,,Roll out Chicken to more zones - proven performer,Performance: 5.0/5 | Orders: 11417,,,Track A,
5,Rotisserie Chicken Family Feast,4.95,Discover,Discovery,,,4.95,0,,,0.0,0.0,Healthy/Fresh,,Farmer J,Test Rotisserie Chicken Family Feast with Farmer J,Discovery: 5.0/5,,,Smart Discovery,"Classic family meal, balanced with veg sides, high value perception"
6,Grilled Chicken Family Platter with Sides,4.95,Discover,Discovery,,,4.95,0,,,0.0,0.0,Healthy/Fresh,,Farmer J,Test Grilled Chicken Family Platter with Sides with Farmer J,Discovery: 5.0/5,,,Smart Discovery,"Perfect fit for balanced midweek - grilled protein, customizable sides"
7,Fajita Family Kit,4.95,Discover,Discovery,,,4.95,0,,,0.0,0.0,Mexican,,Tortilla,Test Fajita Family Kit with Tortilla,Discovery: 5.0/5,,,Smart Discovery,Build-your-own format perfect for families with fussy eaters
8,Kids Ramen & Adult Ramen Combo,4.95,Discover,Discovery,,,4.95,0,,,0.0,0.0,Japanese/Asian,,Wagamama,Test Kids Ramen & Adult Ramen Combo with Wagamama,Discovery: 5.0/5,,,Smart Discovery,"Mild ramen for kids, spicy for adults - solves fussy eater problem"
9,Plain Pasta with Sides Family Bundle,4.87,Discover,Discovery,,,4.87,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Plain Pasta with Sides Family Bundle with TBD - based on cuisine,Discovery: 4.9/5,,,Smart Discovery,"Ultra-plain option for fussiest eaters, sides for everyone else"
10,Paneer Tikka Family Feast,4.87,Discover,Discovery,,,4.87,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Paneer Tikka Family Feast with TBD - based on cuisine,Discovery: 4.9/5,,,Smart Discovery,"Indian vegetarian protein, shareable"
11,Veggie Fajita Family Kit,4.87,Discover,Discovery,,,4.87,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Veggie Fajita Family Kit with TBD - based on cuisine,Discovery: 4.9/5,,,Smart Discovery,Build-your-own with veggie protein options
12,Halloumi Wrap Family Bundle,4.87,Discover,Discovery,,,4.87,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Halloumi Wrap Family Bundle with TBD - based on cuisine,Discovery: 4.9/5,,,Smart Discovery,"Vegetarian protein that kids like, easy to portion"
13,Grilled Chicken with Customizable Sides,4.87,Discover,Discovery,,,4.87,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Grilled Chicken with Customizable Sides with TBD - based on cuisine,Discovery: 4.9/5,,,Smart Discovery,"Protein + veg + carbs, customizable for each family member"
14,Dim Sum Family Selection,4.85,Discover,Discovery,,,4.85,0,,,0.0,0.0,Chinese,,New recruitment needed,Test Dim Sum Family Selection with New recruitment needed,Discovery: 4.8/5,,,Smart Discovery,"Shareable, variety for different tastes, fun for families"
15,Shawarma Family Platter,4.85,Discover,Discovery,,,4.85,0,,,0.0,0.0,Middle Eastern,,New recruitment needed,Test Shawarma Family Platter with New recruitment needed,Discovery: 4.8/5,,,Smart Discovery,"Grilled meat, fresh salads, balanced"
16,Greek Mezze Family Feast,4.85,Discover,Discovery,,,4.85,0,,,0.0,0.0,Greek/Mediterranean,,New recruitment needed,Test Greek Mezze Family Feast with New recruitment needed,Discovery: 4.8/5,,,Smart Discovery,"Shareable, variety, includes veggie options"
17,Build Your Own Grain Bowl Family Pack,4.7,Discover,Discovery,,,4.7,0,,,0.0,0.0,Healthy/Fresh,,Farmer J,Test Build Your Own Grain Bowl Family Pack with Farmer J,Discovery: 4.7/5,,,Smart Discovery,"Healthy, customizable - each family member picks toppings"
