# MASTER DISH LIST v5.1,,,,,,,,,,,,,,,
# =====================,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# 32 dish types scored for Dinneroo prioritisation.,,,,,,,,,,,,,,,
# 23 currently ON Dinneroo | 9 Prospects for recruitment.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# ─────────────────────────────────────────────────────────────────────,,,,,,,,,,,,,,,
# COLUMN DEFINITIONS,,,,,,,,,,,,,,,
# ─────────────────────────────────────────────────────────────────────,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# IDENTIFICATION,,,,,,,,,,,,,,,
# rank               Priority order (1 = highest). On-platform dishes ranked by demand,prospects by suitability.,,,,,,,,,,,,,,
"# dish_type          Dish category (e.g. ""Indian Curry""",Katsu,Pho),,,,,,,,,,,,,
# cuisine            Cuisine classification (e.g. Italian,Asian,Indian),,,,,,,,,,,,,
# on_dinneroo        TRUE = currently on platform | FALSE = prospect for recruitment,,,,,,,,,,,,,,,
# strategic_priority Action classification: Core Driver / Preference Driver / Demand Booster / Deprioritised / Prospect,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# PERFORMANCE (how well does it perform where it exists?),,,,,,,,,,,,,,,
# avg_sales_per_dish Average orders per dish,normalised for supply differences,,,,,,,,,,,,,,
# pct_zones_top_5    % of zones where this dish ranks in top 5 by sales,,,,,,,,,,,,,,,
# deliveroo_rating   Average star rating (1-5) from customer reviews,,,,,,,,,,,,,,,
# meal_satisfaction  % of customers who liked/loved the meal (post-order survey,n=1,363),,,,,,,,,,,,,
# repeat_intent      % of customers who would order again (post-order survey,n=1,363),,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# OPPORTUNITY (is there unmet demand?),,,,,,,,,,,,,,,
# dish_suitability   How much value can Dinneroo add? Composite score (1-5) based on:,,,,,,,,,,,,,,,
#                    Familiarity (30%) + Time to cook (25%) + Healthy enough (20%) + Shareable (12.5%) + Customisable (12.5%),,,,,,,,,,,,,,,
#                    From family behaviour survey (n=404). BLANK if dish not surveyed - NOT penalised.,,,,,,,,,,,,,,,
"# open_text_requests Count of explicit REQUEST mentions across all surveys (filtered for ""wish""",would love,please add etc.),,,,,,,,,,,,,
# wishlist_pct       % who want this dish but don't currently eat it (family behaviour survey,n=404),,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# CONTEXT (informational only - not used in scoring),,,,,,,,,,,,,,,
# demand_strength    Composite demand score (1.0 = average). Combines avg sales + % zones ranked #1 + % zones top 5.,,,,,,,,,,,,,,,
# consumer_preference Composite preference score (1.0 = average). Combines rating + satisfaction + repeat intent.,,,,,,,,,,,,,,,
# coverage_gap       % of zones where this dish is NOT present. High gap ≠ high opportunity (availability ≠ demand).,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# Generated: 2026-01-07 | Version: 5.1,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
rank,dish_type,cuisine,on_dinneroo,strategic_priority,avg_sales_per_dish,pct_zones_top_5,deliveroo_rating,meal_satisfaction,repeat_intent,dish_suitability,open_text_requests,wishlist_pct,demand_strength,consumer_preference,coverage_gap
1,Pho,Vietnamese,TRUE,Core Driver,136,100%,4.6,92%,89%,2.2,18,,4.2,1.1,48%
2,Indian Curry,Indian,TRUE,Core Driver,98,64%,4.7,93%,85%,3.2,15,5.90%,2.9,1.1,74%
3,Biryani,Indian,TRUE,Core Driver,86,54%,4.6,91%,83%,,2,,2.5,1,79%
4,Protein & Veg,Healthy,TRUE,Demand Booster,44,44%,4.4,71%,,3.5,5,7.90%,1.6,0.9,93%
5,Sushi,Japanese,TRUE,Core Driver,32,56%,4.7,93%,81%,,6,,1.5,1,63%
6,Rice Bowl,Asian,TRUE,Core Driver,29,41%,4.4,84%,77%,2.5,0,4.20%,1.2,1,12%
7,Noodles,Asian,TRUE,Core Driver,28,37%,4.5,88%,88%,2.5,15,12.90%,1.2,1,21%
8,Katsu,Japanese,TRUE,Core Driver,29,41%,4.3,87%,85%,2.9,9,11.10%,1.2,1,5%
9,Pizza,Italian,TRUE,Demand Booster,11,49%,4.1,81%,75%,2,25,3.70%,1,0.9,4%
10,Fried Rice,Asian,TRUE,,41,17%,4.5,79%,81%,2.5,2,,1,1,42%
11,East Asian Curry,Asian,TRUE,Preference Driver,18,31%,4.4,87%,84%,3.6,1,19.10%,0.9,1,3%
12,Grain Bowl,Healthy,TRUE,Preference Driver,21,18%,4.7,86%,90%,,0,,0.7,1,76%
13,Pasta,Italian,TRUE,Deprioritised,8,25%,4.2,78%,74%,2.5,29,1.20%,0.6,0.9,3%
14,Lasagne,Italian,TRUE,Deprioritised,13,22%,4.6,77%,75%,3.3,6,15.60%,0.6,0.9,66%
15,Fajitas,Mexican,TRUE,Preference Driver,9,12%,4.2,96%,100%,2.5,0,5.20%,0.4,1.1,68%
16,Tacos,Mexican,TRUE,Deprioritised,7,18%,4.1,,,3.2,1,10.60%,0.4,0.9,84%
17,Shawarma,Middle Eastern,TRUE,Preference Driver,10,10%,4.5,90%,86%,,2,,0.3,1,57%
18,Shepherd's Pie,British,TRUE,Preference Driver,11,8%,4.3,91%,100%,4.4,3,,0.3,1.1,57%
19,Chilli,Mexican,TRUE,Deprioritised,6,5%,3.8,,,3.3,3,5.20%,0.2,0.9,68%
20,Burrito Bowl,Mexican,TRUE,Deprioritised,7,0%,,,,2.5,0,,0.1,,84%
21,Quesadilla,Mexican,TRUE,Deprioritised,6,0%,,,,3.2,0,,0.1,,99%
22,Poke,Healthy,TRUE,Deprioritised,3,0%,,,,,1,,0.1,,63%
23,Nachos,Mexican,TRUE,Deprioritised,1,0%,,,,,1,,0,,85%
24,Casserole / Stew,British,FALSE,Prospect,,,,,,4.3,1,12.30%,,,100%
25,Risotto,Italian,FALSE,Prospect,,,,,,3.6,0,15.10%,,,100%
26,Roast,British,FALSE,Prospect,,,,,,3.5,1,4.70%,,,100%
27,Tagine,Moroccan,FALSE,Prospect,,,,,,3.3,0,9.90%,,,100%
28,Paella,Spanish,FALSE,Prospect,,,,,,3.3,0,14.80%,,,100%
29,Pastry Pie,British,FALSE,Prospect,,,,,,3.2,6,17.30%,,,100%
30,Jacket Potato,British,FALSE,Prospect,,,,,,2.9,0,9.90%,,,100%
31,Sausage & Mash,British,FALSE,Prospect,,,,,,2.9,0,6.20%,,,100%
32,Fish & Chips,British,FALSE,Prospect,,,,,,2.5,5,8.90%,,,100%
