source_file,response_id,column,raw_text,matched_keyword,matched_intent_phrase,cuisine_group,auto_classification,is_valid_request,classification,reviewer,notes
POST_ORDER_SURVEY-CONSOLIDATED.csv,727,"Overall, how could this dish be improved to suit your needs better?",The dish I ordered was fantastic. Maybe a little more chicken with noodles and egg fried rice ,egg fried rice,,Chinese,Dish Feedback (exclude),False,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,921,"What improvements would you suggest (if any) to the ""Family Dinneroo"" or ""Feed the Family for £25"" offering?","We had an awful experience when ordering the family Dinneroo on 17th DECEMBER 2025.   Initially this sounded like a great idea, I had injured my leg at work and was not able to easily weight bear on my leg so getting a takeaway as a treat sounded like a good idea to myself and my partner. How wrong we were.    We ordered from PHO Stratford and ordered the pho the whole fam which included: Prawn crackers, egg fried rice, beef brisket pho noodle soup, cook-fried noodles with chicken and spicy beef",spring roll,,Chinese,Dish Feedback (exclude),False,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,921,"What improvements would you suggest (if any) to the ""Family Dinneroo"" or ""Feed the Family for £25"" offering?","We had an awful experience when ordering the family Dinneroo on 17th DECEMBER 2025.   Initially this sounded like a great idea, I had injured my leg at work and was not able to easily weight bear on my leg so getting a takeaway as a treat sounded like a good idea to myself and my partner. How wrong we were.    We ordered from PHO Stratford and ordered the pho the whole fam which included: Prawn crackers, egg fried rice, beef brisket pho noodle soup, cook-fried noodles with chicken and spicy beef",egg fried rice,,Chinese,Dish Feedback (exclude),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,1214,"Overall, how could this dish be improved to suit your needs better?","Nothing - generous sauce, good crispy batter and well cooked chicken, ,good rice (& Japanese style rice is hard to do well)",japanese,,Japanese,Dish Feedback (exclude),False,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,921,"What improvements would you suggest (if any) to the ""Family Dinneroo"" or ""Feed the Family for £25"" offering?","We had an awful experience when ordering the family Dinneroo on 17th DECEMBER 2025.   Initially this sounded like a great idea, I had injured my leg at work and was not able to easily weight bear on my leg so getting a takeaway as a treat sounded like a good idea to myself and my partner. How wrong we were.    We ordered from PHO Stratford and ordered the pho the whole fam which included: Prawn crackers, egg fried rice, beef brisket pho noodle soup, cook-fried noodles with chicken and spicy beef",kebab,,Middle Eastern,Dish Feedback (exclude),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,94,What further improvements would you suggest (if any)?,"I ordered a Halloumi Schwarma the second time and was slightly disappointed in the portion size. Then again, Bill's, which I used then, they made a lovely dish and I am going to order another Dinneroo from there next week. Thai Green Curry which goes with my current Almased plan menu, and then they have another similar, but vegetarian, healthy eating option which I am going to order in future. So, if any, then maybe more healthy options - then again, it comes down to an individual restaurant [Pi",thai,,Thai,Dish Feedback (exclude),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,371,"Overall, how could this dish be improved to suit your needs better?",I thought it was a good standard albeit I have had tastier Thai food. Portion was on for two adults but def not enough for a family,thai,,Thai,Dish Feedback (exclude),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,827,"Overall, how could this dish be improved to suit your needs better?",I think that this particular dish came across as appetising due to its advertised crispy panko chicken which was appetising indeed while the curry sauce option was not appetising enough for my palate. Won't order it again and I would have ordered from Bill's if they would have included their former Thai Green Curry Dinneroo options which they used to have. I guess my taste is more European. ,thai,,Thai,Dish Feedback (exclude),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,827,What further improvements would you suggest (if any)?,"Bill's Kingston - include the Thai Green Curry with Chicken, and Thai Green Curry with Tofu into your Dinneroo options again! You sold them while I was completing my first phase of Almased long term plan which meant that I had to postpone the purchases of the abovementioned Dinneroo meal options till later, and when it was time, you discontinued these most healthy meal options which I was so looking forward to ordering/eating. It's a shame. But the Shepherd's Pie option is kind of suitable too [",thai,,Thai,Dish Feedback (exclude),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,995,"Overall, how could this dish be improved to suit your needs better?",Not traditional Pad Thai dish which was disappointing.,thai,,Thai,Dish Feedback (exclude),False,,,
