response_text,matched_dish_types,matched_cuisines,is_cuisine_only,is_unmapped
Pasta dishes like lasagne,Pasta; Lasagne,Italian,False,False
"Lasagne, cottage pie",Lasagne; Shepherd's Pie,Italian; British,False,False
Tacos  Caribbean  Chinese  ,Tacos,Chinese; Mexican; Caribbean / African,False,False
More pizza /pasta combos. More Chinese options,Pasta; Pizza,Chinese; Italian,False,False
More options to change the kids sides and especially for me a clearer indication of gluten free options (kid coeliac and another gluten intolerant) ,,,False,True
"Lasagne, cottage pie and pasta dishes",Pasta; Lasagne; Shepherd's Pie,Italian; British,False,False
Option from each type of cuisine/restaurant,,,False,True
"Kosher, Mexican, Dim Sum, Israeli",,Chinese; Mexican,True,False
Dairy free options / plant based / can have choices for example I was wanting to order from Cocotte; but their Caesar salad had cheese it will be great if i can have the option to opt out the cheese / have it on the side. I also assumed it has cheese for Caesar salad as that's the norm. My husband doesn't eat cheese hence the reason. ,,Healthy / Veg,True,False
"Mexican cuisine, vegan options",,Mexican; Healthy / Veg,True,False
Chinese Indian,,Chinese; Indian,True,False
Pasta or Caribbean ,Pasta,Italian; Caribbean / African,False,False
Greek  Mexican  ,,Mexican,True,False
"Pakistani, fish and chips",,,False,True
Asian Kid friendly Fish and chips ,,Asian (general),True,False
Quick food ,,,False,True
"Japanese, Arabic",,Asian (general); Japanese,True,False
Vegetarian / vegan options,,Healthy / Veg,True,False
Chinese cuisines ,,Chinese,True,False
I would have liked to have seen more vegetarian options. ,,Healthy / Veg,True,False
"Asian food - Thai, Korean, Chinese ",,Chinese; Asian (general); Thai; Korean,True,False
Burgers and Thai ,,Asian (general); Thai; Burgers / Chicken,True,False
More family choices the meal options aren't friendly enough for children with eating difficulties ,,,False,True
Healthy meals for kids ,,Healthy / Veg,True,False
Fish and chips Indian Chinese ,,Chinese; Indian,True,False
Caribbean ,,Caribbean / African,True,False
Halal and more fast food places that sell pizzas and burgers.,,Burgers / Chicken,True,False
Pizza  Burgers Healthy options Pasta options ,Pasta; Pizza,Italian; Burgers / Chicken; Healthy / Veg,False,False
It would be nice to see a combo of vegetarian and non-vegetarian.,,Healthy / Veg,True,False
More combinations of vegetarian and non vegetarian ,,Healthy / Veg,True,False
"Sushi, pasta",Pasta; Sushi,Italian; Japanese,False,False
"Healthier options, some more proper midweek meals, less curries etc for fussy kids! ",,,False,True
More fish/healthy options ,,Healthy / Veg,True,False
More family friendly options,,,False,True
Just more vegetarian option s,,Healthy / Veg,True,False
Just a broader range. The breadth is one of the great things about Deliveroo.,,,False,True
Ramen,Noodles,,False,False
"Chinese, Indian, pizza, kebab",Pizza; Shawarma,Chinese; Indian; Italian; Middle Eastern,False,False
"Indian, healthy salads etc, sushi",Sushi,Indian; Japanese; Healthy / Veg,False,False
Places like TGI Fridays more traditional English food as well more healthier options,,,False,True
"African, Caribbean, vegan",,Healthy / Veg; Caribbean / African,True,False
Starter bundles. Sharers,,,False,True
I know there are lots of salad options but would be nice to have a look at more Asian food or Indian food that you could get for 4 people under £25 ,,Indian; Asian (general); Healthy / Veg,True,False
Meals,,,False,True
Noodle choices such as udon noodle or yaki soba ,Noodles,,False,False
